

cancer	gene	sample	tumor methylation	normal methylation	tumor expression	normal expression
brca	NM_001042669	TCGA-A1-A0SB	0.3817		81.0902	
brca	NM_001042669	TCGA-A1-A0SE	0.3295		227.3961	
brca	NM_001042669	TCGA-A1-A0SF	0.7527		212.4882	
brca	NM_001042669	TCGA-A1-A0SG	0.7998		227.1623	
brca	NM_001042669	TCGA-A1-A0SH	0.6836		331.1770	
brca	NM_001042669	TCGA-A1-A0SI	0.7590		237.7869	
brca	NM_001042669	TCGA-A1-A0SJ	0.9266		170.8276	
brca	NM_001042669	TCGA-A1-A0SK	0.8873		64.2925	
brca	NM_001042669	TCGA-A1-A0SM	0.8474		182.7652	
brca	NM_001042669	TCGA-A1-A0SN	0.8456		183.4509	
brca	NM_001042669	TCGA-A1-A0SO	0.8248		43.2565	
brca	NM_001042669	TCGA-A1-A0SP	0.8021		199.9270	
brca	NM_001042669	TCGA-A1-A0SQ	0.9169		132.3248	
brca	NM_001042669	TCGA-A2-A04R	0.8666		84.3974	
brca	NM_001042669	TCGA-A2-A0CK	0.8348		163.2323	
brca	NM_001042669	TCGA-A2-A0CO	0.8584		257.7546	
brca	NM_001042669	TCGA-A2-A0CR	0.7666		230.0747	
brca	NM_001042669	TCGA-A2-A0CT	0.9234		134.1973	
brca	NM_001042669	TCGA-A2-A0EN	0.8113		307.7863	
brca	NM_001042669	TCGA-A2-A0EP	0.8235		378.7379	
brca	NM_001042669	TCGA-A2-A0EU	0.8266		79.8637	
brca	NM_001042669	TCGA-A2-A0ST	0.7460		152.7109	
brca	NM_001042669	TCGA-A2-A0SU	0.8696		170.0387	
brca	NM_001042669	TCGA-A2-A0SV	0.5748		520.4216	
brca	NM_001042669	TCGA-A2-A0SW	0.8109		336.5035	
brca	NM_001042669	TCGA-A2-A0SX	0.8504		339.1137	
brca	NM_001042669	TCGA-A2-A0SY	0.8715		264.1115	
brca	NM_001042669	TCGA-A2-A0T0	0.5771		102.8813	
brca	NM_001042669	TCGA-A2-A0T1	0.8034		184.6466	
brca	NM_001042669	TCGA-A2-A0T2	0.7615		105.2162	
brca	NM_001042669	TCGA-A2-A0T4	0.8082		341.6301	
brca	NM_001042669	TCGA-A2-A0T5	0.8399		136.7740	
brca	NM_001042669	TCGA-A2-A0T6	0.8588		333.4341	
brca	NM_001042669	TCGA-A2-A0T7	0.6116		497.1474	
brca	NM_001042669	TCGA-A2-A0YC	0.8816		127.8474	
brca	NM_001042669	TCGA-A2-A0YD	0.8232		279.2495	
brca	NM_001042669	TCGA-A2-A0YE	0.3965		112.4842	
brca	NM_001042669	TCGA-A2-A0YF	0.7234		118.4910	
brca	NM_001042669	TCGA-A2-A0YG	0.8383		83.3470	
brca	NM_001042669	TCGA-A2-A0YH	0.8044		280.9756	
brca	NM_001042669	TCGA-A2-A0YI	0.6900		314.8479	
brca	NM_001042669	TCGA-A2-A0YJ	0.4566		46.3792	
brca	NM_001042669	TCGA-A2-A0YK	0.7578		351.0996	
brca	NM_001042669	TCGA-A2-A0YL	0.6974		258.8292	
brca	NM_001042669	TCGA-A2-A0YM	0.3039		89.8219	
brca	NM_001042669	TCGA-A2-A0YT	0.8774		166.4082	
brca	NM_001042669	TCGA-A2-A1FV	0.9249		350.3005	
brca	NM_001042669	TCGA-A2-A1FW	0.9201		102.6630	
brca	NM_001042669	TCGA-A2-A1FX	0.5850		152.7317	
brca	NM_001042669	TCGA-A2-A1FZ	0.7448		275.1345	
brca	NM_001042669	TCGA-A2-A1G0	0.8466		222.8797	
brca	NM_001042669	TCGA-A2-A1G1	0.7596		117.9300	
brca	NM_001042669	TCGA-A2-A1G4	0.9139		457.9651	
brca	NM_001042669	TCGA-A2-A1G6	0.4149		248.1654	
brca	NM_001042669	TCGA-A2-A259	0.8325		149.3047	
brca	NM_001042669	TCGA-A2-A25A	0.6713		427.7627	
