index	FACS.selection	age	batch	cell	cell_ontology_class	cell_ontology_id	cellid	free_annotation	mouse.id	plate	sex	well	Expressed Genes	UMI Count	Louvain Cluster	leiden	cluster_names
E4_B000836_S40_L003.mus-0-0	Multiple	24m	0	nan	bladder cell	CL:1001319	E4_B000836	bladder mesenchymal cell (Scara5+)	24_60_M	B000836	male	E4	3588	5226.1284	1	1	1_bladder cell
G13_B000836_S97_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	G13_B000836	luminal bladder epithelial cell (umbrella cell)	24_60_M	B000836	male	G13	4249	5000.5464	0	2	0_bladder urothelial cell
H15_B000836_S123_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	H15_B000836	basal bladder epithelial cell (Krt5+)	24_60_M	B000836	male	H15	3347	5055.26	0	0	0_bladder urothelial cell
N10_B000836_S262_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	N10_B000836	luminal bladder epithelial cell (umbrella cell)	24_60_M	B000836	male	N10	3314	5045.6357	0	2	0_bladder urothelial cell
O16_B000836_S292_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	O16_B000836	basal bladder epithelial cell (Krt5+)	24_60_M	B000836	male	O16	4168	5039.379	0	0	0_bladder urothelial cell
P18_B000836_S18_L003.mus-0-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	P18_B000836	basal bladder epithelial cell (Krt5+)	24_60_M	B000836	male	P18	3340	5185.731	0	0	0_bladder urothelial cell
A10_B001380_S10_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A10_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	A10	4154	5276.951	0	2	0_bladder urothelial cell
A10_B001382_S202_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A10_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	A10	4210	5294.867	0	2	0_bladder urothelial cell
A11_B001380_S11_L001.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A11_B001380	luminal bladder epithelial cell (umbrella cell)	24_58_M	B001380	male	A11	4201	5080.9253	0	2	0_bladder urothelial cell
A11_B001382_S203_L004.mus-4-0	Multiple	24m	0	nan	bladder urothelial cell	CL:1001428	A11_B001382	luminal bladder epithelial cell (umbrella cell)	24_59_M	B001382	male	A11	4186	5308.747	0	2	0_bladder urothelial cell
